citing_id,cited_id,citing_title,cited_title
nasser2025blockchain,tian2023pricing,Blockchain technology in maritime single window and port community systems: A bibliometric analysis and systematic literature review,Pricing and redesign decisions for global supply chain of free trade port based on the complex system
chen2025study,valeria2022the,Study on the Credit Evaluation Algorithm for International Trade Enterprises Utilizing Blockchain Technology,The Impact of Blockchain Technology on International Trade and Financial Business
chen2025study,toorajipou2022block,Study on the Credit Evaluation Algorithm for International Trade Enterprises Utilizing Blockchain Technology,Block by block: A blockchain-based peer-to-peer business transaction for international trade
gao2025intelligence,ma2019machine,Intelligence customs declaration for cross-border e-commerce based on the multi-modal model and the optimal window mechanism,Machine Learning Based Cross-border E-Commerce Commodity Customs Product Name Recognition Algorithm
anggoro2025harmonized,spichakova2020using,Harmonized system code classification using supervised contrastive learning with sentence BERT and multiple negative ranking loss,Using machine learning for automated assessment of misclassification of goods for fraud detection
anggoro2025harmonized,du2021hscodenet,Harmonized system code classification using supervised contrastive learning with sentence BERT and multiple negative ranking loss,HScodeNet: Combining Hierarchical Sequential and Global Spatial Information of Text for Commodity HS Code Classification
anggoro2025harmonized,he2021a,Harmonized system code classification using supervised contrastive learning with sentence BERT and multiple negative ranking loss,A commodity classification framework based on machine learning for analysis of trade declaration
anggoro2025harmonized,chen2021the,Harmonized system code classification using supervised contrastive learning with sentence BERT and multiple negative ranking loss,The use of machine learning to identify the correctness of HS Code for the customs import declarations
anggoro2025harmonized,delima2022an,Harmonized system code classification using supervised contrastive learning with sentence BERT and multiple negative ranking loss,An Empirical Comparison of Portuguese and Multilingual BERT Models for Auto-Classification of NCM Codes in International Trade
anggoro2025harmonized,zhou2022harmonized,Harmonized system code classification using supervised contrastive learning with sentence BERT and multiple negative ranking loss,Harmonized system code prediction of import and export commodities based on Hybrid Convolutional Neural Network with Auxiliary Network
anggoro2025harmonized,lee2024explainable,Harmonized system code classification using supervised contrastive learning with sentence BERT and multiple negative ranking loss,Explainable Product Classification for Customs
wang2025theb,qi2023an,The mediating role of supply chain digitization in the relationship between cross-border e-commerce development and regional economic growth,An artificial-intelligence-enabled sustainable supply chain model for B2C E-commerce business in the international trade
