source_id,target_id,source,target,weight
A5024129321,A5122362756,Ανδρέας Μασούρας,Panikos Symeou,1
A5041417678,A5036205655,Chen-Chiung Hsieh,Wei-Hsin Huang,1
A5041417678,A5101451328,Chen-Chiung Hsieh,Chun‐An Chen,1
A5101451328,A5036205655,Chun‐An Chen,Wei-Hsin Huang,1
A5121790403,A5007956619,M. D. Ismail Bhuiyan,Ahmed Wasif Reza,1
A5121790403,A5121769744,M. D. Ismail Bhuiyan,Fatema Jalal,1
A5121790403,A5121774338,M. D. Ismail Bhuiyan,Tamanna E. Jahan,1
A5121790403,A5121791954,M. D. Ismail Bhuiyan,K. M. Safin Kamal,1
A5121790403,A5121813704,M. D. Ismail Bhuiyan,Meherun Nessa Nowrin,1
A5121790403,A5121824801,M. D. Ismail Bhuiyan,Sahara Jaman Omi,1
A5121813704,A5007956619,Meherun Nessa Nowrin,Ahmed Wasif Reza,1
A5121813704,A5121769744,Meherun Nessa Nowrin,Fatema Jalal,1
A5121813704,A5121774338,Meherun Nessa Nowrin,Tamanna E. Jahan,1
A5121813704,A5121791954,Meherun Nessa Nowrin,K. M. Safin Kamal,1
A5121813704,A5121824801,Meherun Nessa Nowrin,Sahara Jaman Omi,1
A5121774338,A5007956619,Tamanna E. Jahan,Ahmed Wasif Reza,1
A5121774338,A5121769744,Tamanna E. Jahan,Fatema Jalal,1
A5121774338,A5121791954,Tamanna E. Jahan,K. M. Safin Kamal,1
A5121774338,A5121824801,Tamanna E. Jahan,Sahara Jaman Omi,1
A5121769744,A5007956619,Fatema Jalal,Ahmed Wasif Reza,1
A5121769744,A5121791954,Fatema Jalal,K. M. Safin Kamal,1
A5121769744,A5121824801,Fatema Jalal,Sahara Jaman Omi,1
A5121824801,A5007956619,Sahara Jaman Omi,Ahmed Wasif Reza,1
A5121824801,A5121791954,Sahara Jaman Omi,K. M. Safin Kamal,1
A5121791954,A5007956619,K. M. Safin Kamal,Ahmed Wasif Reza,1
A5003413234,A5122195473,Jun He,Haiyan Cheng,1
A5120839959,A5069702443,Valeriy Boluchenko,Oleg Kudryavtsev,1
A5120839959,A5091452922,Valeriy Boluchenko,V. I. Skiba,1
A5069702443,A5091452922,Oleg Kudryavtsev,V. I. Skiba,1
A5100421634,A5024342719,Yi Li,Zheng Yang,1
A5058474801,A5012197148,Murad Ali Ahmad Al-Zaqeba,Faisal Aburub,1
A5058474801,A5016486936,Murad Ali Ahmad Al-Zaqeba,Haneen A. Al-Khawaja,1
A5058474801,A5016718331,Murad Ali Ahmad Al-Zaqeba,Ahmad Nader Aloqaily,1
